entry_number,gulper_id,task,subtask,entry_start_time,entry_end_time,duration_seconds,job_id
1,5,Fluidizing,Adding water,08:46:26,08:48:07,101.5,2026-05-08_01
2,17,Fluidizing,Adding water,08:46:31,08:47:52,80.6,2026-05-08_01
3,17,Fluidizing,Mixing,08:47:52,08:50:30,158.3,2026-05-08_01
4,5,Communication,With other gulper(s),08:48:07,08:50:27,140.2,2026-05-08_01
5,5,Fluidizing,Mixing,08:50:35,08:51:50,75.2,2026-05-08_01
6,17,Rest,,08:50:40,08:52:53,133.8,2026-05-08_01
7,5,Rest,,08:51:50,08:51:55,4.9,2026-05-08_01
8,5,Fluidizing,Mixing,08:52:02,08:55:26,203.6,2026-05-08_01
9,17,Fluidizing,Adding water,08:52:53,08:54:26,92.2,2026-05-08_01
10,17,Rest,,08:54:26,08:55:31,65.8,2026-05-08_01
11,5,Communication,With other gulper(s),08:55:26,08:56:43,77.4,2026-05-08_01
12,17,Fluidizing,Mixing,08:55:31,09:05:32,600.4,2026-05-08_01
13,5,Fluidizing,Mixing,08:56:43,08:58:41,117.5,2026-05-08_01
14,5,Fluidizing,Adding water,08:58:41,08:58:54,13.6,2026-05-08_01
15,5,Rest,,08:58:54,08:59:58,63.3,2026-05-08_01
16,5,Fluidizing,Mixing,08:59:58,09:01:34,96.2,2026-05-08_01
17,5,Communication,With other gulper(s),09:01:34,09:01:57,23.1,2026-05-08_01
18,5,Fluidizing,Mixing,09:01:57,09:05:34,216.9,2026-05-08_01
19,17,Extraction,Removing sludge,09:05:32,09:08:07,154.7,2026-05-08_01
20,5,Extraction,Removing sludge,09:05:34,09:08:19,165.1,2026-05-08_01
21,17,Rest,,09:08:07,09:08:17,10.2,2026-05-08_01
22,17,Extraction,Removing sludge,09:08:17,09:09:00,43.6,2026-05-08_01
23,5,Communication,With other gulper(s),09:08:19,09:09:12,53,2026-05-08_01
24,17,Extraction,Removing sludge,09:09:04,09:11:25,140.5,2026-05-08_01
25,5,Extraction,Removing sludge,09:09:12,09:10:41,89,2026-05-08_01
26,5,Sludge handling,Container transport,09:10:41,09:11:17,36.2,2026-05-08_01
27,5,Sludge handling,Filling containers,09:11:17,09:11:45,28.3,2026-05-08_01
28,17,Rest,,09:11:25,09:11:41,15.8,2026-05-08_01
29,17,Extraction,Removing sludge,09:11:41,09:12:50,69.3,2026-05-08_01
30,5,Sludge handling,Container transport,09:11:45,09:12:20,34.6,2026-05-08_01
31,5,Sludge handling,Filling containers,09:12:20,09:13:18,58.5,2026-05-08_01
32,17,Sludge handling,Container transport,09:12:50,09:13:55,65.4,2026-05-08_01
